"Story","Title","Result","Date","Stability","Duration (s)"
"User Creation, complete some challenges and check the leaderboard","Create a user so that he can login into COVID THE GAME application","SUCCESS","2022-05-23T00:06:14.126389+10:00[Australia/Sydney]","0.0","33.05"
"User Creation, complete some challenges and check the leaderboard","Login into application to complete some challenges and verify score in leaderboard","SUCCESS","2022-05-23T00:06:48.444326+10:00[Australia/Sydney]","0.0","25.65"
