"Story","Title","Result","Date","Stability","Duration (s)"
"User Creation, complete some challenges and check the leaderboard","Create a user so that he can login into COVID THE GAME application","SUCCESS","2022-05-21T15:13:33.33169+10:00[Australia/Sydney]","0.0","32.13"
"User Creation, complete some challenges and check the leaderboard","Login into application to complete some challenges and verify score in leaderboard","SUCCESS","2022-05-21T15:14:06.730075+10:00[Australia/Sydney]","0.0","26.11"
